"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:53:56 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.491"
"Records Found","2668"
"Records Returned","2668"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18679","spm","","475161","30612","47147","HMN SII","holotype","","","ulna","","1","table","","specimen number not given, inferred from data of Paul 1988\r\nnot measured by Paul 1988","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18680","spm","","475161","30612","47147","HMN SII","holotype","","","pubis","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18681","spm","","475161","30612","47147","HMN SII","holotype","","","scapula","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1929 mm according to Paul 1988","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18682","spm","","508088","0","51572","","holotype","","","femur","","1","table","","additional ""measurements"" are given for tibia, humerus, radius, ulna, pubis, and scapula, but these are ""increased from"" other specimens that may include A. wichmannianus and definitely include A. septentrionalis\r\nfigure of 2310 mm repeated by Paul 1988, who also gives circumference and lists the specimen as MP A2300","Antarctosaurus giganteus","species","66265","nomen dubium","Antarctosaurus","genus","38685","89.3","83.5","34472"
"18683","spm","N","","0","","","","","","femur","","1","table","","","Apatosaurus alenquerensis","species","65347","recombined as","Lourinhasaurus alenquerensis","species","65347","","","34472"
"18684","spm","N","","0","","","","","","tibia","","1","table","","","Apatosaurus alenquerensis","species","65347","recombined as","Lourinhasaurus alenquerensis","species","65347","","","34472"
"18685","spm","N","","0","","","","","","humerus","","1","table","","","Apatosaurus alenquerensis","species","65347","recombined as","Lourinhasaurus alenquerensis","species","65347","","","34472"
"18686","spm","N","","0","","","","","","radius","","1","table","","","Apatosaurus alenquerensis","species","65347","recombined as","Lourinhasaurus alenquerensis","species","65347","","","34472"
"18687","spm","N","","0","","","","","","ulna","","1","table","","","Apatosaurus alenquerensis","species","65347","recombined as","Lourinhasaurus alenquerensis","species","65347","","","34472"
"18688","spm","N","","0","","","","","","pubis","","1","table","","","Apatosaurus alenquerensis","species","65347","recombined as","Lourinhasaurus alenquerensis","species","65347","","","34472"
"18689","spm","N","","0","","","","","","scapula","","1","table","","","Apatosaurus alenquerensis","species","65347","recombined as","Lourinhasaurus alenquerensis","species","65347","","","34472"
"18690","spm","","474524","0","21852","","","","","femur","","1","table","","based on specimens described by Gilmore (1936)","Apatosaurus louisae","species","57752","","Apatosaurus louisae","species","57752","150.8","145","34472"
"18691","spm","","474524","0","21852","","","","","tibia","","1","table","","based on specimens described by Gilmore (1936)","Apatosaurus louisae","species","57752","","Apatosaurus louisae","species","57752","150.8","145","34472"
"18692","spm","","474524","0","21852","","","","","humerus","","1","table","","based on specimens described by Gilmore (1936)","Apatosaurus louisae","species","57752","","Apatosaurus louisae","species","57752","150.8","145","34472"
"18693","spm","","474524","0","21852","","","","","radius","","1","table","","based on specimens described by Gilmore (1936)","Apatosaurus louisae","species","57752","","Apatosaurus louisae","species","57752","150.8","145","34472"
"18694","spm","","474524","0","21852","","","","","ulna","","1","table","","based on specimens described by Gilmore (1936)","Apatosaurus louisae","species","57752","","Apatosaurus louisae","species","57752","150.8","145","34472"
