"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:43:37 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"Elapsed Time","1.13"
"Records Found","2399"
"Records Returned","2399"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Cerro Bandera","","""volcaniclastic""","21","17.5","AR","1","2"
"str","","Cerro Carnerero","","tuff/claystone","190.8","182","AR","1","1"
"str","","Cerro Fortaleza","","sandstone/mudstone,sandstone,""siliciclastic""","83.6","66","AR","7","15"
"str","","Cerro Huerta","","","83.5","66","MX","1","1"
"str","","Cerro Lisandro","","mudstone","93.5","89.3","AR","1","1"
"str","","Chacarilla","","sandstone","145","100.5","CL","4","9"
"str","","Chadron","","""volcaniclastic"",""limestone""","37.2","33.9","US","4","7"
"str","","Chadron","Big Cottonwood Creek","","37.2","33.9","US","1","1"
"str","","Chadron","Crazy Johnson","","37.2","33.9","US","1","1"
"str","","Chadron","upper","","37.2","33.9","US","1","1"
"str","","Chairlin","","","170.3","168.3","TM","1","1"
"str","","Chambira","base","claystone/conglomerate,conglomerate","28.4","23.03","PE","2","2"
"str","","Chanak","","claystone/sandstone,""limestone""","93.5","89.3","KZ","2","2"
"str","","Chandler Bridge","Bed 2","","28.1","23.03","US","1","1"
"str","","Chaochuan","","conglomerate,sandstone","100.5","93.9","CN","3","3"
"str","","Chapadmalal","Playa Los Lobos","sandstone","4","3","AR","1","1"
"str","","Chapala","","","2.588","0.0117","MX","1","3"
"str","","Chari","","sandstone","164.7","161.2","IN","1","1"
"str","","Chhasra","","siltstone","15.97","11.62","IN","1","1"
"str","","Chi-Ting","","","0.781","0.126","TW","1","1"
"str","","Chichengshan","","","99.6","89.8","CN","1","1"
"str","","Chichinales","","""volcaniclastic""/conglomerate","21","17.5","AR","1","4"
